GlAccount_parentGlAccountId,GlAccount_glAccountId,GlAccount_accountCode,GlAccount_glAccountClassId,GlAccount_glAccountTypeId,GlAccount_glResourceTypeId,GlAccount_accountName,GlAccount_description,GlAccount_postedBalance
630000,631600,631600,SGA_EXPENSE,,MONEY,KIDS PLAY AREA - NEW EQUIPMENT,,0
630000,631700,631700,SGA_EXPENSE,,MONEY,KIDS PLAY AREA - SAND,,0
630000,631800,631800,SGA_EXPENSE,,MONEY,LADDER NEAR NICOBAR BLOCKS,,0
630000,631900,631900,SGA_EXPENSE,,MONEY,LANDSCAPE ISLAND CONSTRUCTION,,0
630000,632000,632000,SGA_EXPENSE,,MONEY,OFFICE FURNITURE / COMPUTERS / SOFTWARE,,0
630000,632100,632100,SGA_EXPENSE,,MONEY,OFFICE RENOVATION,,0
630000,632200,632200,SGA_EXPENSE,,MONEY,RTP SURVEY MAP,,0
630000,632300,632300,SGA_EXPENSE,,MONEY,SECURITY POST DESIGN AND CIVIL WORKS,,0
630000,632400,632400,SGA_EXPENSE,,MONEY,SOLAR FENCING,,0
630000,632500,632500,SGA_EXPENSE,,MONEY,SPORTS - SHUTTLE COURT,,0
630000,632600,632600,SGA_EXPENSE,,MONEY,SPORTS -SPA CONSTRUCTION,,0
630000,632700,632700,SGA_EXPENSE,,MONEY,SPRINKLER SYSTEM REPAIRS,,0
630000,632800,632800,SGA_EXPENSE,,MONEY,STORE ROOM FOR SPARES,,0
630000,632900,632900,SGA_EXPENSE,,MONEY,SLUDGE REMOVAL,,0
630000,633000,633000,SGA_EXPENSE,,MONEY,WATER METER PURCHASE + INSTALLATION,,0
600000,670000,670000,DEPRECIATION,,MONEY,DEPRECIATION EXPENSE,,0
600000,670000,670000,COGS_EXPENSE,,MONEY,INCIDENTALS ON PURCHASE,,0
670000,671000,671000,SGA_EXPENSE,,MONEY,COMMISSION ON PURCHASE,,0
670000,672000,672000,SGA_EXPENSE,,MONEY,FREIGHT IN,,0
670000,673000,673000,SGA_EXPENSE,,MONEY,DISCOUNT ON SALES,,0
,700000,700000,SGA_EXPENSE,,MONEY,TAXES,,0
700000,701000,701000,SGA_EXPENSE,,MONEY,NON-CLAIMABLE TAX EXP,,0
,850000,850000,DEBIT,PROFIT_LOSS_ACCOUNT,MONEY,NET INCOME,,0
